dv;1;2;3;4;5;6;7
41;41,07220956719820;30,33728788178010;24,95103852595210;20,18006954077810;17,01908311976880;;
42;42,00011654394230;31,08546789501640;25,52646396581360;20,92258867419060;17,75831424528990;;
43;42,92802352068650;31,83364790825260;26,15246793089470;21,67890712406420;18,49325224115240;15,94533029612760;16,40091116173120
44;43,85593049743070;32,61681983239930;26,94544573811570;22,41424189976170;19,16426338262810;16,27815408503180;16,57537997670940
45;44,78383747417490;33,42149866672420;27,73842354533660;23,02856060645910;19,83527452410380;16,93700481158390;17,23423070326160
46;45,81884320170710;34,22617750104910;28,53140135255760;23,64287931315660;20,51367862445670;17,53930986094560;17,78601854303250
47;46,86547683621600;35,03085633537400;29,24531540872510;24,32917891364120;21,20598631676440;18,12533587857040;18,24516698952270
48;47,80011654394240;35,83553516969900;29,93762310103280;25,02148660594890;21,85470163526850;18,71136189619520;18,71293320076240
49;48,72802352068660;36,64021400402390;30,64111781658570;25,63980002139380;22,43012707513010;19,29738791382010;19,32725190745990
50;49,81110493864900;37,34625621658730;31,34721637362350;26,25411872809120;23,02086237705190;19,88341393144490;19,96705765174240
51;50,89745266326970;38,04794077786090;32,05331493066130;26,84027994504650;23,63518108374930;20,48933459608650;20,62590837829460
52;51,98380038789060;38,74962533913450;32,75941348769910;27,41570538490800;24,24949979044680;21,13481645418680;21,15981837416180
53;53,07014811251120;39,45130990040810;33,42809124041280;28,11310813134820;24,86381849714430;21,78029831228710;21,67057106233380
54;54,13362023464200;40,15299446168170;34,07357309851310;28,85233925686930;25,53160806343880;22,36522946913070;22,27220956719820
55;55,18025386915090;40,85467902295530;34,72102066363140;29,55665914379560;26,22391575574650;22,94065490899230;22,93106029375040
56;56,27104188854330;41,66712410613040;35,37987139018360;30,17097785049300;26,91622344805420;23,61952015135090;23,61952015135090
57;57,38921096841260;42,50907388456470;36,03872211673580;30,78529655719050;27,55204020615130;24,31182784365860;24,31182784365860
58;58,47453514859350;43,33449290438330;36,69757284328800;31,42403142954640;28,16635891284870;24,88951214040140;24,88951214040140
59;59,40244212533770;43,97997476248360;37,40260480450590;32,11633912185410;28,78067761954610;25,45597176773060;25,45597176773060
60;60,87442341552610;44,62545662058390;38,12841925795390;32,80142966389780;29,36551790293510;26,02243139505980;26,02243139505980
61;61,81760095209860;45,35278782753730;38,85423371140190;33,47244080537350;29,94094334279670;26,58889102238890;26,59511121127090
62;62,74652063679180;46,13160934760570;39,55357985203270;34,14345194684920;30,54665144556620;27,15535064971810;27,17053665113240
63;63,85583461581740;46,91043086767400;40,16789855873010;34,85697103083880;31,16097015226360;27,72181027704730;27,80556491726420
64;64,94218234043820;47,68925238774230;40,78221726542760;35,59620215635980;31,79995065042140;28,34826509062210;28,46441564381640
65;65,90011654394240;48,46807390781060;41,42255672760400;36,32465858969140;32,45880137697360;29,04057278292980;28,99183419676680
66;66,82802352068660;49,11561518397750;42,13290032739040;36,99566973116710;33,08090856642840;29,71606689877020;29,55094140339370
67;67,75593049743080;49,75390171081710;42,84324392717680;37,66668087264280;33,69522727312580;30,37491762532240;30,20979212994590
68;68,68383747417500;50,39218823765680;43,55106178498250;38,33231524751520;34,30954597982330;30,95117635686610;30,84534274656690
69;69,55889389975870;51,03964668480530;44,22207292645820;38,99116597406740;35,01320750958500;31,50329812808380;31,45966145326440
70;70,35187170697960;51,69063240880260;44,89308406793390;39,65001670061960;35,73157170711590;32,08327959261990;32,04748121685240
71;71,23500026487270;52,34161813279980;45,61245311605290;40,30886742717180;36,32670413420510;32,72876145072020;32,57299982073780
72;72,13219411721760;52,99260385679710;46,42225305806510;40,70589308656780;36,85222273809050;33,37424330882060;33,19268382977770
73;72,90276190400780;53,57021263939480;47,15789086050070;41,18397427308050;37,45812180738290;33,89499482588000;33,88499152208540
74;73,92260657794090;54,08096532756680;47,77220956719820;41,92320539860160;38,04619480705060;34,38985662602170;34,47882794059290
75;74,85326561166320;54,61379580303530;48,38652827389560;42,66243652412270;38,59341470384620;34,88471842616340;35,00434654447840
76;75,59249673718430;55,19982182066020;49,03305398593730;43,11074884142870;39,11893330773160;35,47084603588320;35,52986514836380
77;76,34202675895240;55,78584783828500;49,72536167824500;43,58963096898640;39,64445191161700;36,11632789398350;36,06628193055460
78;77,42837448357310;56,41355699124040;50,41766937055270;44,16505640884810;40,16997051550240;36,73653637962620;36,68060063725200
79;78,31968525038480;57,07240771779260;51,06197037290530;44,76220186896880;40,70342954798590;37,19568482611650;37,23812988329960
80;79,17322084685590;57,73125844434480;51,64799639053010;45,37987139018360;41,24002897161700;37,65483327260670;37,76364848718500
81;80,25956857147670;58,39216023016460;52,23402240815490;46,03872211673580;41,77662839524810;38,20106364798960;38,34396785507060
82;81,20941886952370;59,06884848178340;52,89771564007270;46,68888826755920;42,32479259302840;38,79314938582970;38,92999387269550
83;82,13732584626780;59,74553673340230;53,59002333238030;47,32267888127760;42,87691436424610;39,38523512366970;39,49917625748880
84;83,06523282301210;60,42222498502120;54,28233102468800;47,95646949499600;43,40397021161700;39,95860219653910;39,99403805763050
85;84,13821501255010;61,09156227525640;54,75560675749190;48,59026010871440;43,86311865810730;40,45346399668080;40,48889985777220
86;85,15360491603530;61,75041300180850;55,16326959274090;49,23390045227080;44,32226710459750;40,94832579682260;40,98376165791400
87;86,12344730657220;62,52137172239290;55,68137046019280;49,89275117882300;44,80085625801150;41,44318759696430;41,59361064495030
88;87,24161638644150;63,34426422045940;56,29568916689020;50,47038439909060;45,32637486189690;42,03239093570600;42,20792935164770
89;88,35978546631080;64,06936122231750;56,91000787358770;51,00698382272170;45,85189346578240;42,62447667354610;42,82224805834520
90;89,33034910208190;64,68367992901500;57,52432658028510;51,54358324635280;46,37741206966780;43,21656241138620;43,28199092508080
91;90,46780056156950;65,29799863571240;58,05305954159650;52,10708121415520;46,90293067355310;43,74113937157110;43,74113937157100
92;91,58879131800860;65,91231734240990;58,56381222976860;52,68250665401680;47,42768990710880;44,20028781806130;44,20028781806120
93;92,36539032385390;66,52663604910740;59,06508695911890;53,17497136236500;47,94490148711750;44,69417203015500;44,65943626455150
94;93,48355940372320;67,13719651760980;59,55994875926060;53,65827877749100;48,46211306712610;45,21969063404040;45,18034340048350
95;94,60172848359250;67,73797949291590;60,05481055940230;54,22473840482020;48,97932464713470;45,76621325723500;45,75576884034500
96;95,71989756346160;68,33876246822210;60,59438046789100;54,79119803214930;49,49451323211960;46,31833502845280;46,32624683427890
97;96,83806664333080;68,93954544352820;61,20869917458850;55,35840507578470;49,99587448866410;46,87045679967060;46,89270646160810
98;97,86005633073840;69,54032841883440;61,79982751886680;56,01725580233680;50,49723574520860;47,42257857088830;47,45916608893730
